Unnamed: 4,Unnamed: 8,Unnamed: 9,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
02101,INST. HOGAR DEL PINO,CONSTITUCION 1650 CONSTITUCION ,,1,1,
02101,GRAL MARIANO NECOCHEA,PTE. LUIS SAENZ PEÑA 463 MONTSERRAT ,,,1,
02101,INSTITUTO NUESTRA SEÑORA DE MONSERRAT,AVDA. BELGRANO 1344 MONTSERRAT VENEZUELA 1232,,,1,
02101,INSTITUTO NUESTRA SEÑORA DE MONSERRAT,REPUBLICA BOLIVARIANA DE VENEZUELA 1232 MONTSERRAT ,1,1,,
02101,FRAY CAYETANO RODRIGUEZ,CHILE 1670 MONTSERRAT ,,,1,
02110,JIN D DE 18 (ESC. PRIM. N° 08 DE 18),CNEL. PEDRO CALDERON DE LA BARCA 157 VILLA LURO ,,1,,
02110,JIN D DE 18 (ESC. PRIM. Nº 07 DE 18),AVDA. RIVADAVIA 9799 VILLA LURO ,,1,,
02110,JIN D DE 18 (ESC. PRIM. N° 10 DE 18),DR. LUIS BELAUSTEGUI 4949 VELEZ SARSFIELD ,,1,,
02104,JIC Nº 03 DE 05,LUZURIAGA 1571 BARRACAS ,,1,,
02104,NIEVES ESCALADA DE OROMI,SAN ANTONIO 682 BARRACAS ,,,1,
02105,INSTITUTO PIO IX,YAPEYU 197 ALMAGRO ,,,,1
02109,COLEGIO Nº 13 CNEL.DE MARINA TOMAS ESPORA DE 18,GALLARDO 149 LINIERS ,,,,1
02102,INST MARIA BIANCHI DE COPELLO,JOSE ANDRES PACHECO DE MELO 2455 RECOLETA ,1,1,1,
02112,COLEGIO SAGRADA FAMILIA,BLANCO ENCALADA 5154 VILLA URQUIZA ,1,1,1,1
02110,JIC Nº 01 REPUBLICA ARGENTINA DE 18,CERVANTES 1927 MONTE CASTRO ,1,1,,
02110,GENDARMERIA NACIONAL,JUAN AGUSTIN GARCIA 5265 MONTE CASTRO ,,,1,
02110,CASIMIRO AURELIANO MACIEL,MARCOS PAZ 1732 VELEZ SARSFIELD ,,,1,
02104,PRESBITERO ALBERTI,ITAQUI 2050 NUEVA POMPEYA CHARRÚA 2850,,,1,
02108,JOSE MARTI,PJE. L E/LACARRA Y LAGUNA  VILLA SOLDATI BARRIO RAMON CARRILLO,,,1,
02112,COLEGIO PARR. NTRA SRA DE LA ANUNCIACION,BARZANA 2040 VILLA URQUIZA 2027,1,1,1,1
02114,INSTITUTO DIVINO CORAZON,REPUBLICA DOMINICANA 3586 PALERMO ,1,1,1,1
02110,JIC N° 04 DE 18,LASCANO 4044 MONTE CASTRO ,1,1,,
02115,INSTITUTO EDUCACIONAL DUAYEN,BALLIVIAN 2160 VILLA ORTUZAR 2236 ,1,1,,
02115,INSTITUTO EDUCACIONAL DUAYEN,BALLIVIAN 2230 VILLA ORTUZAR ,,,1,1
02112,INSTITUTO SAN VICENTE PALLOTTI,ECHEVERRIA 3920 VILLA URQUIZA ,1,1,1,
02114,CENTRO EDUCATIVO SAN FRANCISCO JAVIER,JORGE LUIS BORGES 1883 PALERMO ,,1,1,1
02108,INSTITUTO CANTO A LA VIDA,PJE. CRISTÓBAL M. HICKEN 3117 VILLA LUGANO ,,,,1
02108,INSTITUTO CANTO A LA VIDA,"ALVAREZ, CRISOSTOMO 5545 VILLA LUGANO ",1,1,1,
02108,HOMERO MANZI,MIRALLA 2666 VILLA LUGANO ,,,1,
02104,INSTITUTO MARIA AUXILIADORA,PUERTO DE PALOS 560 BOCA ,,1,1,
02109,REPUBLICA FRANCESA,MONTIEL 153 LINIERS ,,,1,
02109,CARLOS MOREL,IBARROLA 7249 LINIERS ,,,1,
02109,REPUBLICA DE COREA,MURGUIONDO 76 LINIERS ,,,1,
02109,REPUBLICA ISLAMICA DE PAKISTAN,AVDA. LISANDRO DE LA TORRE 550 LINIERS ,,,1,
02106,INSTITUTO MONSEÑOR SABELLI,VICTOR MARTINEZ 62 CABALLITO ,1,1,1,
02110,ESCUELA CRISTIANA DE LA PUERTA ABIERTA,SANTO TOME 5130 MONTE CASTRO ,1,1,1,1
02112,NUEVOS AIRES,GALVAN 3256 VILLA URQUIZA ,,1,1,1
02107,JII N° 01 DE 11,AVDA. SAN PEDRITO 341 FLORES ,,1,,
02101,INSTITUTO COMUNIDAD FILII DEI,VILLA 31 CALLE 5 ENTRE 6 Y 8  RETIRO ,1,1,1,1
02101,GENERAL JOSE SAN MARTIN,SAN MARTIN 458 SAN NICOLAS ,,,1,
02101,FRENCH Y BERUTI,BASAVILBASO 1295 RETIRO ,,,1,
02114,COLEGIO DE LOS NIÑOS,CHARCAS 3949 PALERMO ,,,1,1
02114,COLEGIO DE LOS NIÑOS,MALABIA 2370 PALERMO ,1,1,,1
02114,AMAPOLA,NICARAGUA 4739 PALERMO ,,,1,
02113,INSTITUTO ESPAÑOL VIRGEN DEL PILAR,AVDA. FEDERICO LACROZE 2950 COLEGIALES ,1,1,1,1
02114,INSTITUTO SANTA MARIA DE LUJAN,3 DE FEBRERO 760 PALERMO ,1,1,1,1
02114,PROVINCIA DE CORDOBA,AVDA. RAUL SCALABRINI ORTIZ 1336 PALERMO ,,,1,
02113,ESCUELA TECNICA PHILIPS ARGENTINA,DELGADO 977 COLEGIALES ,,,,1
02115,DR. ENRIQUE M. MOSCA,CASAFOUST 761 VILLA CRESPO ,,,1,
02104,CARLOS SAAVEDRA LAMAS,CATULO CASTILLO 2750 PARQUE PATRICIOS 3º PISO,,,1,
02112,MARTIN DEL BARCO CENTENERA,ROQUE PEREZ 3545 SAAVEDRA ,,,1,
02112,INSTITUTO SANTA CLARA DE ASIS,MANUELA PEDRAZA 3850 COGHLAN ,,1,1,1
02107,JUAN B. PEÑA,MANUEL RICARDO TRELLES 948 FLORES ,,,1,
02111,LEOPOLDO MARECHAL,GALICIA 1857 VILLA GRAL. MITRE ,,,1,
02107,FLORIAN OLIVER,SARAZA 470 PARQUE CHACABUCO ,,,1,
02111,INST. MATER DOLOROSA,MERCEDES 4734 VILLA DEVOTO ,1,1,1,1
02111,COLEGIO Nº 19 LUIS PASTEUR DE 17,NAVARRO 4344 VILLA DEVOTO ,,,,1
02111,JARDIN CUENTACUENTOS,GUALEGUAYCHU 3502 VILLA DEVOTO ,1,1,,
02111,COLEGIO PRESENCIA,GUALEGUAYCHU 3152 VILLA DEVOTO ,,,,1
02101,ESCUELA PARROQUIAL LA PIEDAD,PARANA 56 SAN NICOLAS ,,1,1,
02104,INSTITUTO NUESTRA SEÑORA DE LUJAN,AVDA. JUJUY 2179 PARQUE PATRICIOS ,1,1,1,1
02115,ESC.DE EDUC.MEDIA Nº1 FEDERICO GARCIA LORCA DE14,AVDA. CHORROARIN 305 PATERNAL ,,,,1
02108,DR. LUIS F. LELOIR,AVDA. INTENDENTE FRANCISCO RABANAL 2275 VILLA SOLDATI ,,,1,
02104,DR.GENARO SISTO,TILCARA 3365 NUEVA POMPEYA ,,,1,
02107,JIC Nº 02 JARDIN DEL ANGEL GRIS DE 12,AVDA. AVELLANEDA 2555 FLORES ,1,1,,
02107,COLEGIO NUMEN,YERBAL  1871 FLORES ,1,1,,
02107,COLEGIO NUMEN,TERRERO 70 FLORES ,,,1,
02105,JIN B DE 08 MAFALDA-INFANCIAS PARTICIPANDO DE SUS DERECHOS,AVDA. SAN JUAN 4396 BOEDO ESC. PRIM. Nº 06 DE 08,1,1,,
02106,JIN B DE 08 (ESC. PRIM. N° 08 DE 08),AVDA. JOSE MARIA MORENO 480 CABALLITO ,1,1,,
02115,ESC. DE COM. Nº 20 DR. JUAN AGUSTIN GARCIA DE 14,NICASIO OROÑO 2131 PATERNAL ,,,,1
02115,REPUBLICA DEL ECUADOR,ESPINOSA 2547 PATERNAL ,,,1,
02111,ROMPEHIELOS GRAL SAN MARTIN,SANTO TOME 2836 VILLA DEL PARQUE ,,,1,
02111,ESC. DE EDUC. MEDIA Nº 03 ANTONIO DEVOTO DE 17,MERCEDES 4002 VILLA DEVOTO ,,,,1
02107,ANTONIO A. ZINNY,SALAS 565 PARQUE CHACABUCO ,,,1,
02111,CAPITAN JUAN DE SAN MARTIN Y GOMEZ,NOGOYA 2557 VILLA DEL PARQUE ,,,1,
02111,JOSE ERNESTO GALLONI,HELGUERA 2435 VILLA DEL PARQUE ,,,1,
02111,INSTITUTO PLATERILLO,TERRADA 3080 VILLA DEL PARQUE ,,1,1,
02107,CANADA,CACHIMAYO 1735 PARQUE CHACABUCO ,,,1,
02107,ESCUELA INFANTIL N° 04 AGUSTIN TATIN RAVELLO DE 08,VICTOR MARTINEZ 1780 PARQUE CHACABUCO ,1,1,,
02103,ESCUELA RELIGIOSA ISRAELITA ARGENTINA,ECUADOR 928 BALVANERA ,,1,1,1
02105,ESCUELA METROPOLITANA DE ALTOS ESTUDIOS,AVDA. CORRIENTES 3934 ALMAGRO ,,,,
02110,JIN D DE 12 (ESC. PRIM. Nº 03 DE 12),BACACAY 3732 FLORESTA ,,1,,
02110,JIN D DE 12 (ESC. PRIM. Nº 09 DE 12),BACACAY 3542 FLORESTA ,,1,,
02110,JIN D DE 12 (ESC. PRIM. Nº 24 DE 12),MORON 3745 FLORESTA ,,1,,
02110,INSTITUTO LA CANDELARIA,BAHIA BLANCA 363 FLORESTA ,1,1,1,1
02111,ALTE MANUEL BLANCO ENCALADA,EMILIO LAMARCA 3379 VILLA DEL PARQUE ,,,1,
02109,PATRIA GRANDE,CHASCOMUS 5598 MATADEROS ,,,1,
02109,PRESBISTERO PROF. VICENTE MONTES CARBALLO,LARRAYA 2055 MATADEROS ,,,1,
02109,CAJA NACIONAL DE AHORRO Y SEGURO,ALBARIÑO 2062 MATADEROS ,,,1,
02109,JIN A DE 13 (ESC. PRIM. N° 14 DE 13),SAN PEDRO 5845 MATADEROS ,,1,,
02109,JIN A DE 13 (ESC. PRIM. N° 19 DE 13),ALBARIÑO 2062 MATADEROS ,,1,,
02109,JIN A DE 13 (ESC. PRIM. N° 12 DE 13),LARRAYA 2055 MATADEROS ,,1,,
02114,JII N° 06 DE 09,AVDA. SANTA FE 5039 PALERMO ,,1,,
02114,FIDEL LOPEZ,AVDA. SANTA FE 5039 PALERMO ,,,1,
02102,COLEGIO SAN FRANCISCO JAVIER,JUNCAL 2659 RECOLETA ,1,1,1,1
02107,ESC. TEC. Nº 06 FERNANDO FADER DE 12,PJE. LA PORTEÑA 54 FLORES ,,,,1
02110,SATURNINO SEGUROLA,GRAL. VENANCIO FLORES 3869 FLORESTA ,,,1,
02107,COLEGIO EYELEN,HELGUERA 40 FLORES ,,1,1,
02110,EMILIO GIMENEZ ZAPIOLA,JOAQUIN V. GONZALEZ 180 FLORESTA ,,,1,
02111,INSTITUTO SCHILLER,PEDRO LOZANO  3064 VILLA DEL PARQUE ,1,1,1,1
02111,COLEGIO NUEVO PENSAR,NOGOYA 2620 VILLA DEL PARQUE ,,1,1,1
02114,COLEGIO DEL ARCE,JORGE NEWBERY 1953 PALERMO ,,,,1
02114,COLEGIO DEL ARCE,ARCE 334 PALERMO ,1,1,1,
02115,GRAL. JUAN ANTONIO LAVALLEJA,14 DE JULIO 546 VILLA ORTUZAR ,,,1,
02115,ESCUELA ARGENTINA,GIRIBONE 863 CHACARITA 867,,1,1,1
02112,INSTITUTO SIR THOMAS MALORY,AVDA. CONGRESO 4931 VILLA URQUIZA ,,1,1,
02112,FRAY LUIS BELTRAN,CAPDEVILA 3156 VILLA URQUIZA ,,,1,
02112,GAUCHOS DE GUEMES,JOSE PASCUAL TAMBORINI 5324 VILLA URQUIZA ,,,1,
02115,INSTITUTO PARROQUIAL NUESTRA SEÑORA DE LA UNIDAD,NAVARRO  2517 AGRONOMIA ,1,1,,
02115,INSTITUTO PARROQUIAL NUESTRA SEÑORA DE LA UNIDAD,NAVARRO 2460 AGRONOMIA ,,,1,
02115,INSTITUTO PARROQUIAL NUESTRA SEÑORA DE LA UNIDAD,NUEVA YORK 2467 AGRONOMIA ,,,,1
02114,JII N° 05 DE 09,AVDA. DEL LIBERTADOR 4777 PALERMO ,1,1,,
02113,MARCOS SASTRE,VIRREY LORETO 3050 COLEGIALES ,,,1,
02105,CARLOS JAVIER BENIELLI,SANCHEZ DE BUSTAMANTE 260 ALMAGRO ,,,1,
02111,INSP. GRAL ALFREDO D. ZUNDA,REMEDIOS DE ESCALADA DE SAN MARTIN 2986 VILLA SANTA RITA ,,,1,
02111,ENRIQUE G. PARKER,CONDARCO 1129 VILLA GRAL. MITRE ,,,1,
02113,INSTITUTO SAN MATEO,MOLDES 1469 COLEGIALES 1487,1,1,1,1
02113,NTRA. SRA. DE LA MISERICORDIA,AVDA. CABILDO 1333 BELGRANO ,1,1,1,1
02111,JORGE NEWBERY,SAN BLAS 2962 VILLA SANTA RITA ,,,1,
02107,JIN A DE 12 (ESC. PRIM. Nº 05 DE 12),GRAL. JOSE GERVASIO DE ARTIGAS 878 FLORES ,,1,,
02107,JIN A DE 12 (ESC. PRIM. Nº 19 DE 12),FRAY CAYETANO RODRIGUEZ 95 FLORES ,,1,,
02107,JIN A DE 12 (ESC. PRIM. Nº 01 DE 12),YERBAL 2370 FLORES ,,1,,
02115,AUSTRALIA,GURRUCHAGA 739 VILLA CRESPO ,,,1,
02115,INST. SAN JOSE DE LA PALABRA DE DIOS,CASTILLO 767 VILLA CRESPO ,1,1,1,1
02115,INSTITUTO INTEGRAL MUNDO NUEVO,SERRANO 557 VILLA CRESPO ,1,1,1,
02115,COLEGIO URIARTE,URIARTE 1152 VILLA CRESPO ,,1,1,
02112,FELIX DE AZARA,JOSE PASCUAL TAMBORINI 3948 COGHLAN ,,,1,
02112,COLEGIO INGLES HORACIO WATSON,DIAZ COLODRERO 2431 VILLA URQUIZA ,,1,1,1
02101,INSTITUTO ARGENTINO DE ENSEÑANZA SUPERIOR (IADES),MONTEVIDEO 467 SAN NICOLAS ,,,,
02101,ESC. DE PERIODISMO DEPORTIVO JOSE R. LOPEZ PAJARO,RODRIGUEZ PEÑA 628 SAN NICOLAS ,,,,
02115,INSTITUTO INCORPORADO COLECTIVIDAD HELENICA,JULIAN ALVAREZ 1030 VILLA CRESPO ,,1,1,
02115,INSTITUTO GRIEGO ATENÁGORAS I,LERMA 242 VILLA CRESPO Lerma 252,,,,1
02105,DR. ALEJANDRO CARBO,MARIO BRAVO 234 ALMAGRO ,,,1,
02112,REPUBLICA DE TURQUIA,AVDA. RUIZ HUIDOBRO 3853 SAAVEDRA ,,,1,
02114,JIN B JARDIN DE LOS PUENTES DE 09 (ESC.PRIM.Nº9 DE 9),GORRITI 5744 PALERMO ,,1,,
02113,JIN B JARDIN DE LOS PUENTES DE 09 (ESC.PRIM.N°15DE 9),AVDA. FEDERICO LACROZE 2971 COLEGIALES ,,1,,
02110,ESCUELA DE ENFERMERIA DEL HTAL. ISRAELITA,CNEL. RAMON L. FALCON 4080 VELEZ SARSFIELD ,,,,
02102,COLEG. LA ANUNCIATA,ARENALES 2065 RECOLETA ,1,1,1,1
02101,JIN A DE 01 (ESC. PRIM. Nº 7 DE 01),LIBERTAD  581 SAN NICOLAS ,,1,,
02101,JIN A DE 01 (ESC. PRIM. Nº 8 DE 01),TALCAHUANO 680 SAN NICOLAS ,,1,,
02101,NICOLAS AVELLANEDA,TALCAHUANO 680 SAN NICOLAS ,,,1,
02101,NICOLAS RODRIGUEZ PEÑA,RODRIGUEZ PEÑA 747 SAN NICOLAS ,,,1,
02107,INST. SAN JUDAS TADEO,SOMELLERA 1720 PARQUE CHACABUCO ,1,1,1,1
02108,ISAAC BAKCHELLIAN,CORRALES 2527 VILLA SOLDATI ,,1,1,
02108,JIC N° 08 DE 19,AVDA. LAFUENTE 2670 VILLA SOLDATI ,,1,,
02105,IFTS N° 21 DE 08,CARLOS SPEGAZZINI 450 ALMAGRO ,,,,
02113,INST. VIRGEN DEL VALLE,AVDA. JORGE NEWBERY 2880 COLEGIALES ,1,1,1,1
02108,DR.ALFREDO LANARI,AVDA. PIEDRA BUENA 4863 VILLA RIACHUELO ,,,1,
02103,ESC.SUPERIOR DE SEGURIDAD E HIGIENE INDUSTRIAL,AVDA. CALLAO 262 BALVANERA PISO 1ª,,,,
02108,JII Nº 12 DE 21 ,CAFAYATE 5115 VILLA LUGANO ,,1,,
02108,JIC N° 03 AMALIA FIGUEREDO DE 21,BERON DE ASTRADA 5920 VILLA LUGANO ,,1,,
02108,INSTITUTO AMANECER,AVDA. GRAL. PAZ 16234 VILLA RIACHUELO ,1,1,1,1
02108,JIN C DE 21 (ESC. PRIM. Nº 14 DE 21),CAÑADA DE GOMEZ 4548 VILLA LUGANO ,,1,,
02108,JIN C DE 21 (ESC. PRIM. N° 13 DE 21),AVDA. PIEDRA BUENA 4863 VILLA RIACHUELO ,,1,,
02108,ARMADA ARGENTINA,AVDA. LARRAZABAL 4520 VILLA LUGANO ,,,1,
02113,MARIA ELENA WALSH,GRAL. ENRIQUE MARTINEZ 1432 COLEGIALES ,,,1,
02106,IFTS N° 13 DE 08,AVDA. JUAN BAUTISTA ALBERDI 163 CABALLITO ,,,,
02108,ESC. EDUC. MEDIA Nº 05 JUAN MANUEL FANGIO DE 21,BERON DE ASTRADA 6351 VILLA RIACHUELO ,,,,1
02108,ESC. DE EDUC. MEDIA Nº 04 DE 21 NORMA COLOMBATTO,AVDA. RIESTRA 5030 VILLA LUGANO ,,,,1
02103,INSTITUTO EUSKAL-ECHEA,SARANDI 735 BALVANERA ,1,1,1,1
02103,FRANCISCO NARCISO LAPRIDA,MEXICO 2383 BALVANERA ,,,1,
02103,JIN B DE 03 (ESC. PRIM. N° 23 DE 3),PASCO 961 SAN CRISTOBAL ,,1,,
02103,JIN B DE 03 (ESC. PRIM. Nº 9 DE 3),MORENO 2104 BALVANERA ,,1,,
02103,JIN B DE 03 (ESC. PRIM. N° 15 DE 3),MEXICO 2383 BALVANERA ,,1,,
02102,INSTITUTO NUESTRA SEÑORA DEL PILAR,VICENTE LOPEZ 1969 RECOLETA ,,1,1,1
02103,JIN B EL JARDIN DEL ABASTO DE 02 (N°8),SAN LUIS 3224 BALVANERA TUCUMAN 3233,,1,,
02103,JIN B JARDIN DEL ABASTO DE 02 (N°24),JEAN JAURES 870 BALVANERA ,,1,,
02102,INST.MERCEDES PACHECO,DR. TOMAS MANUEL DE ANCHORENA 1553 RECOLETA ,,1,1,1
02104,FRAY MAMERTO ESQUIU,SALOM 332 BARRACAS ,,,1,
02104,CARLOS N. VERGARA,AVDA. AMANCIO ALCORTA 1934 BARRACAS ,,,1,
02104,PROVINCIA DE FORMOSA,ELIA 473 PARQUE PATRICIOS ,,,1,
02112,INSTITUTO POLITECNICO MODELO,AVDA. DE LOS CONSTITUYENTES 5880 VILLA PUEYRREDON ,,,,1
02107,CNEL CARLOS TOMAS SOURIGUES,DR. JUAN FELIPE ARANGUREN 2400 FLORES ,,,1,
02107,INSTITUTO SAN ROBERTO,BOLIVIA 667 FLORES ,,1,1,
02110,ADA MARIA ELFLEIN,DR. LUIS BELAUSTEGUI 4949 VELEZ SARSFIELD ,,,1,
02105,INSTITUTO ESCUELA DE LA NUEVA EXPRESION,HUMAHUACA 4248 ALMAGRO ,,,1,
02105,INSTITUTO BETANIA,FRANCISCO ACUÑA DE FIGUEROA 855 ALMAGRO ,1,1,1,1
02101,JIN D DE 03 (ESC. PRIM. N° 04 DE 03),VENEZUELA 753 MONTSERRAT ,,1,,
02101,JIN D DE 03 (ESC. PRIM. N° 03 DE 03),TACUARI 567 MONTSERRAT ,,1,,
02101,MARIA SANCHEZ DE THOMPSON,TACUARI 567 MONTSERRAT ,,,1,
02113,COLEGIO AULA XXI,11 DE SEPTIEMBRE DE 1888 3168 NUÑEZ ,,,,1
02113,JOSE CLEMENTE PAZ,MCAL. ANTONIO JOSE DE SUCRE 1367 BELGRANO ,,,1,
02112,JORGE ANGEL BOERO,JURAMENTO 4849 VILLA URQUIZA ,,,1,
02112,DOMINGUITO,ECHEVERRIA 5034 VILLA URQUIZA ,,,1,
02109,ISLAS MALVINAS,AVDA. DE LOS CORRALES 7040 MATADEROS ,,,1,
02105,INTENDENTE ALVEAR,CASTRO 954 BOEDO ,,,1,
02109,VICENTE LOPEZ Y PLANES,TANDIL 6690 MATADEROS ,,,1,
02109,INSTITUTO LEOPOLDO MARECHAL,MONTIEL 3015 MATADEROS ,1,1,,
02109,INSTITUTO LEOPOLDO MARECHAL,"SUAREZ, JUSTO ANTONIO 7354 MATADEROS ",,,1,
02101,PRIMERA MINISTRO INDIRA GANDHI,PIEDRAS 1430 SAN TELMO ,,,1,
02104,ESCUELA PARROQUIAL SANTA ELISA,SALTA 2290 BARRACAS ,,1,1,
02114,INSTITUTO AMBROSIO TOGNONI,AVDA. SANTA FE 4320 PALERMO ,1,1,1,
02114,JIN C DE 09 (ESC. PRIM. N° 20 DE 09),DARREGUEYRA 2369 PALERMO ,,1,,
02114,JIN C DE 09 (ESC. PRIM. N° 23 DE 09),THAMES 1361 PALERMO ,,1,,
02114,JIN C DE 09 (ESC. PRIM. N° 01 DE 09),COSTA RICA 4942 PALERMO ,,1,,
02112,IRLANDA,IBERA 5734 VILLA URQUIZA ,,,1,
02110,JIC Nº 01 PABLO NERUDA DE 17,TINOGASTA 5784 VILLA REAL ,1,1,,
02107,JIN C DE 11 HERMINIA BRUMANA (ESC.PRIM.N°10DE11),AVDA. LAFUENTE 559 FLORES ,1,1,,
02107,JIN C DE 11 HERMINIA BRUMANA (ESC.PRIM.N°09DE11),CNEL. RAMON L. FALCON 2934 FLORES ,,1,,
02107,JIN C DE 11 HERMINIA BRUMANA (ESC.PRIM.N°08DE11),VARELA 358 FLORES ,1,1,,
02112,BELISARIO ROLDAN,FRANCO 2390 VILLA PUEYRREDON ,,,1,
02112,ESC. DE EDUC. MEDIA Nº 01 RODOLFO WALSH DE 16,ARGERICH 5651 VILLA PUEYRREDON ,,,,1
02111,GRAL MAXIMO DE ZAMUDIO,JOSE CUBAS 4440 VILLA DEVOTO ,,,1,
02115,ENRIQUE DE VEDIA,COMBATIENTES DE MALVINAS 3234 PARQUE CHAS ,,,1,
02115,EI Nº 02 DE 14 (HOSP. TORNU),AVALOS 911 PARQUE CHAS COMBATIENTES DE MALVINAS 3002,1,1,,
02102,INSTITUTO SAN MIGUEL,LARREA 1254 RECOLETA ,1,1,1,1
02102,ESCUELA ARCO IRIS,PTE. JOSE EVARISTO URIBURU 1222 RECOLETA ,1,1,1,
02102,INSTITUTO DE ESTUDIOS SUPERIORES DE BUENOS AIRES,PTE. JOSE EVARISTO URIBURU 1045 RECOLETA 1051,,,,
02113,CAP. DE FRAGATA CARLOS MARIA MOYANO,MOLDES 1102 COLEGIALES ,,,1,
