Provincia,Departamento,Cantidad de BP fundadas desde 1950
Buenos Aires,Baradero,1
Buenos Aires,San Nicolás,1
Buenos Aires,General Viamonte,1
Buenos Aires,San Andrés de Giles,1
Buenos Aires,Junín,1
Buenos Aires,Presidente Perón,0
Buenos Aires,Florentino Ameghino,0
Buenos Aires,Carlos Tejedor,0
Buenos Aires,Adolfo Alsina,0
Buenos Aires,Capitán Sarmiento,0
Buenos Aires,Ayacucho,0
Buenos Aires,Chivilcoy,0
Buenos Aires,Hipólito Yrigoyen,0
Buenos Aires,Pergamino,0
Buenos Aires,Pila,0
Buenos Aires,Dolores,0
Buenos Aires,Roque Pérez,0
Buenos Aires,Saavedra,0
Buenos Aires,Balcarce,0
Buenos Aires,Suipacha,0
Buenos Aires,Patagones,0
Buenos Aires,Punta Indio,0
Buenos Aires,Rojas,0
Buenos Aires,San Pedro,0
Buenos Aires,Mercedes,0
Buenos Aires,Arrecifes,0
Buenos Aires,Colón,0
Buenos Aires,Escobar,0
Buenos Aires,Marcos Paz,0
Buenos Aires,Azul,0
Buenos Aires,General Juan Madariaga,0
Buenos Aires,San Vicente,0
Buenos Aires,Lezama,0
Buenos Aires,Carmen de Areco,0
Buenos Aires,Benito Juárez,0
Buenos Aires,Chacabuco,0
Buenos Aires,Salliqueló,0
Buenos Aires,General Alvear,0
Buenos Aires,Castelli,0
Buenos Aires,José C. Paz,0
Buenos Aires,Adolfo Gonzales Chaves,0
Buenos Aires,Laprida,0
Buenos Aires,Las Flores,0
Buenos Aires,General Rodríguez,0
Buenos Aires,Daireaux,0
Buenos Aires,Chascomús,0
Buenos Aires,Trenque Lauquen,0
Buenos Aires,Tres Lomas,0
Buenos Aires,Alberti,0
Buenos Aires,Coronel Pringles,0
Buenos Aires,General Las Heras,0
Buenos Aires,General Belgrano,0
Buenos Aires,General La Madrid,0
Buenos Aires,Pellegrini,0
Buenos Aires,Zárate,0
Buenos Aires,25 de Mayo,0
Buenos Aires,General Paz,0
Buenos Aires,Exaltación de la Cruz,0
Catamarca,Fray Mamerto Esquiú,4
Catamarca,Valle Viejo,4
Catamarca,Capital,3
Catamarca,Belén,3
Catamarca,Santa Rosa,3
Catamarca,Capayán,3
Catamarca,La Paz,2
Catamarca,Pomán,2
Catamarca,El Alto,1
Catamarca,Ambato,1
Catamarca,Paclín,1
Catamarca,Andalgalá,0
Catamarca,Antofagasta de la Sierra,0
Catamarca,Ancasti,0
Catamarca,Santa María,0
Catamarca,Tinogasta,0
Chaco,San Fernando,26
Chaco,Libertador General San Martín,5
Chaco,Mayor Luis J. Fontana,3
Chaco,9 de Julio,3
Chaco,Quitilipi,3
Chaco,Bermejo,3
Chaco,Chacabuco,3
Chaco,Sargento Cabral,3
Chaco,Comandante Fernández,2
Chaco,General Donovan,2
Chaco,Fray Justo Santa María de Oro,1
Chaco,2 de Abril,1
Chaco,General Güemes,1
Chaco,O'Higgins,1
Chaco,Presidencia de la Plaza,1
Chaco,General Belgrano,1
Chaco,25 de Mayo,1
Chaco,12 de Octubre,1
Chaco,Maipú,0
Chaco,Libertad,0
Chaco,Independencia,0
Chaco,1º de Mayo,0
Chaco,San Lorenzo,0
Chaco,Tapenagá,0
Chaco,Almirante Brown,0
Chubut,Rawson,13
Chubut,Escalante,7
Chubut,Cushamen,7
Chubut,Biedma,7
Chubut,Telsen,2
Chubut,Futaleufú,2
Chubut,Tehuelches,1
Chubut,Río Senguer,1
Chubut,Gaiman,1
Chubut,Languiñeo,1
Chubut,Sarmiento,0
Chubut,Gastre,0
Chubut,Mártires,0
Chubut,Florentino Ameghino,0
Chubut,Paso de Indios,0
Ciudad de Buenos Aires,Comuna 7,3
Ciudad de Buenos Aires,Comuna 1,3
Ciudad de Buenos Aires,Comuna 3,2
Ciudad de Buenos Aires,Comuna 8,2
Ciudad de Buenos Aires,Comuna 12,2
Ciudad de Buenos Aires,Comuna 5,1
Ciudad de Buenos Aires,Comuna 10,1
Ciudad de Buenos Aires,Comuna 9,1
Ciudad de Buenos Aires,Comuna 15,1
Ciudad de Buenos Aires,Comuna 2,1
Ciudad de Buenos Aires,Comuna 6,1
Ciudad de Buenos Aires,Comuna 4,1
Ciudad de Buenos Aires,Comuna 13,0
Ciudad de Buenos Aires,Comuna 14,0
Ciudad de Buenos Aires,Comuna 11,0
Corrientes,Capital,12
Corrientes,Paso de los Libres,2
Corrientes,Santo Tomé,2
Corrientes,Goya,2
Corrientes,Monte Caseros,2
Corrientes,Concepción,2
Corrientes,General Paz,2
Corrientes,Itatí,1
Corrientes,Curuzú Cuatiá,1
Corrientes,Mercedes,1
Corrientes,San Cosme,1
Corrientes,San Roque,1
Corrientes,Saladas,1
Corrientes,Berón de Astrada,0
Corrientes,Bella Vista,0
Corrientes,Ituzaingó,0
Corrientes,Lavalle,0
Corrientes,Sauce,0
Corrientes,Mburucuyá,0
Corrientes,Esquina,0
Corrientes,General Alvear,0
Corrientes,Empedrado,0
Corrientes,San Luis del Palmar,0
Corrientes,San Martín,0
Corrientes,San Miguel,0
Córdoba,Capital,17
Córdoba,San Justo,12
Córdoba,Río Cuarto,10
Córdoba,Punilla,7
Córdoba,Río Segundo,7
Córdoba,Santa María,6
Córdoba,Marcos Juárez,6
Córdoba,Colón,6
Córdoba,Calamuchita,6
Córdoba,San Javier,4
Córdoba,General San Martín,3
Córdoba,Río Primero,3
Córdoba,Tercero Arriba,3
Córdoba,General Roca,3
Córdoba,Juárez Celman,3
Córdoba,San Alberto,2
Córdoba,Presidente Roque Sáenz Peña,1
Córdoba,Tulumba,1
Córdoba,Río Seco,1
Córdoba,Unión,1
Córdoba,Ischilín,0
Córdoba,Minas,0
Córdoba,Pocho,0
Córdoba,Sobremonte,0
Córdoba,Cruz del Eje,0
Córdoba,Totoral,0
Entre Ríos,Paraná,9
Entre Ríos,Uruguay,4
Entre Ríos,Gualeguaychú,3
Entre Ríos,Concordia,3
Entre Ríos,Nogoyá,3
Entre Ríos,Colón,2
Entre Ríos,Diamante,2
Entre Ríos,San Salvador,2
Entre Ríos,Islas del Ibicuy,1
Entre Ríos,Gualeguay,1
Entre Ríos,La Paz,1
Entre Ríos,Federación,1
Entre Ríos,Federal,0
Entre Ríos,Tala,0
Entre Ríos,Victoria,0
Entre Ríos,Villaguay,0
Entre Ríos,Feliciano,0
Formosa,Pilcomayo,8
Formosa,Formosa,7
Formosa,Pirané,3
Formosa,Patiño,2
Formosa,Laishi,2
Formosa,Bermejo,0
Formosa,Matacos,0
Formosa,Pilagás,0
Formosa,Ramón Lista,0
Jujuy,Dr. Manuel Belgrano,6
Jujuy,San Pedro,5
Jujuy,Palpalá,4
Jujuy,El Carmen,3
Jujuy,Santa Bárbara,2
Jujuy,Tumbaya,2
Jujuy,Ledesma,2
Jujuy,Cochinoca,2
Jujuy,Susques,2
Jujuy,Humahuaca,1
Jujuy,Yavi,0
Jujuy,Tilcara,0
Jujuy,Rinconada,0
Jujuy,San Antonio,0
Jujuy,Valle Grande,0
Jujuy,Santa Catalina,0
La Pampa,Capital,8
La Pampa,Atreucó,4
La Pampa,Realicó,4
La Pampa,Rancul,3
La Pampa,Hucal,3
La Pampa,Chapaleufú,3
La Pampa,Maracó,3
La Pampa,Catriló,3
La Pampa,Guatraché,3
La Pampa,Conhelo,2
La Pampa,Utracán,2
La Pampa,Quemú Quemú,2
La Pampa,Caleu Caleu,1
La Pampa,Loventué,1
La Pampa,Lihuel Calel,1
La Pampa,Curacó,0
La Pampa,Limay Mahuida,0
La Pampa,Chalileo,0
La Pampa,Puelén,0
La Pampa,Chical Co,0
La Pampa,Trenel,0
La Pampa,Toay,0
La Rioja,Capital,4
La Rioja,Chilecito,2
La Rioja,Castro Barros,1
La Rioja,San Blas de Los Sauces,1
La Rioja,General Felipe Varela,1
La Rioja,Sanagasta,0
La Rioja,Vinchina,0
La Rioja,Famatina,0
La Rioja,Chamical,0
La Rioja,Ángel Vicente Peñaloza,0
La Rioja,General Lamadrid,0
La Rioja,Arauco,0
La Rioja,Rosario Vera Peñaloza,0
La Rioja,Independencia,0
La Rioja,General San Martín,0
La Rioja,General Ortiz de Ocampo,0
La Rioja,General Juan Facundo Quiroga,0
La Rioja,General Belgrano,0
Mendoza,San Rafael,11
Mendoza,Las Heras,6
Mendoza,Luján de Cuyo,5
Mendoza,Guaymallén,5
Mendoza,San Martín,4
Mendoza,San Carlos,4
Mendoza,Junín,3
Mendoza,Tunuyán,3
Mendoza,Maipú,3
Mendoza,Capital,3
Mendoza,Godoy Cruz,2
Mendoza,Santa Rosa,2
Mendoza,Lavalle,2
Mendoza,Tupungato,1
Mendoza,General Alvear,1
Mendoza,Malargüe,1
Mendoza,Rivadavia,1
Mendoza,La Paz,0
Misiones,Capital,6
Misiones,Candelaria,4
Misiones,Montecarlo,4
Misiones,Cainguás,3
Misiones,Iguazú,3
Misiones,General Manuel Belgrano,2
Misiones,25 de Mayo,2
Misiones,Oberá,2
Misiones,San Javier,2
Misiones,Libertador General San Martín,2
Misiones,Guaraní,2
Misiones,San Ignacio,1
Misiones,Apóstoles,1
Misiones,San Pedro,1
Misiones,Eldorado,1
Misiones,Leandro N. Alem,1
Misiones,Concepción,0
Neuquén,Confluencia,39
Neuquén,Chos Malal,4
Neuquén,Lácar,3
Neuquén,Aluminé,3
Neuquén,Minas,3
Neuquén,Pehuenches,2
Neuquén,Loncopué,1
Neuquén,Picún Leufú,1
Neuquén,Catán Lil,1
Neuquén,Añelo,1
Neuquén,Collón Curá,1
Neuquén,Picunches,1
Neuquén,Huiliches,1
Neuquén,Ñorquín,1
Neuquén,Los Lagos,1
Neuquén,Zapala,1
Río Negro,General Roca,25
Río Negro,Bariloche,7
Río Negro,Adolfo Alsina,4
Río Negro,Avellaneda,4
Río Negro,San Antonio,4
Río Negro,El Cuy,2
Río Negro,Pilcaniyeu,2
Río Negro,Ñorquinco,2
Río Negro,25 de Mayo,1
Río Negro,Valcheta,1
Río Negro,Pichi Mahuida,0
Río Negro,9 de Julio,0
Río Negro,Conesa,0
Salta,Capital,26
Salta,Anta,5
Salta,Orán,4
Salta,General José de San Martín,3
Salta,La Caldera,2
Salta,La Candelaria,2
Salta,Santa Victoria,1
Salta,Molinos,1
Salta,Cerrillos,1
Salta,Rivadavia,1
Salta,San Carlos,1
Salta,Rosario de Lerma,1
Salta,Rosario de la Frontera,1
Salta,Cafayate,1
Salta,General Güemes,1
Salta,La Poma,1
Salta,Metán,1
Salta,Los Andes,1
Salta,La Viña,0
Salta,Cachi,0
Salta,Iruya,0
Salta,Guachipas,0
Salta,Chicoana,0
San Juan,Capital,11
San Juan,Rawson,7
San Juan,Rivadavia,6
San Juan,Santa Lucía,3
San Juan,Calingasta,2
San Juan,San Martín,2
San Juan,Chimbas,2
San Juan,Iglesia,2
San Juan,Ullum,1
San Juan,Valle Fértil,1
San Juan,9 de Julio,1
San Juan,Zonda,1
San Juan,Albardón,1
San Juan,Sarmiento,0
San Juan,Angaco,0
San Juan,Jáchal,0
San Juan,Pocito,0
San Juan,25 de Mayo,0
San Juan,Caucete,0
San Luis,Juan Martín de Pueyrredón,10
San Luis,General Pedernera,7
San Luis,Junín,6
San Luis,Chacabuco,5
San Luis,Coronel Pringles,4
San Luis,Gobernador Dupuy,2
San Luis,Libertador General San Martín,1
San Luis,Ayacucho,1
San Luis,Belgrano,1
Santa Cruz,Güer Aike,8
Santa Cruz,Deseado,6
Santa Cruz,Río Chico,2
Santa Cruz,Lago Argentino,1
Santa Cruz,Lago Buenos Aires,1
Santa Cruz,Corpen Aike,0
Santa Cruz,Magallanes,0
Santa Fe,Rosario,19
Santa Fe,Castellanos,14
Santa Fe,General Obligado,12
Santa Fe,La Capital,11
Santa Fe,Las Colonias,11
Santa Fe,Vera,7
Santa Fe,San Cristóbal,6
Santa Fe,Constitución,5
Santa Fe,General López,5
Santa Fe,Caseros,5
Santa Fe,Iriondo,5
Santa Fe,San Martín,4
Santa Fe,9 de Julio,3
Santa Fe,San Justo,3
Santa Fe,San Jerónimo,3
Santa Fe,San Javier,3
Santa Fe,San Lorenzo,2
Santa Fe,Garay,2
Santa Fe,Belgrano,2
Santiago del Estero,Capital,15
Santiago del Estero,Banda,7
Santiago del Estero,Río Hondo,3
Santiago del Estero,Ojo de Agua,2
Santiago del Estero,Copo,2
Santiago del Estero,Robles,2
Santiago del Estero,Avellaneda,2
Santiago del Estero,General Taboada,1
Santiago del Estero,Rivadavia,1
Santiago del Estero,Loreto,1
Santiago del Estero,Choya,1
Santiago del Estero,Juan Felipe Ibarra,1
Santiago del Estero,Atamisqui,1
Santiago del Estero,Alberdi,1
Santiago del Estero,Jiménez,1
Santiago del Estero,Quebrachos,1
Santiago del Estero,Sarmiento,0
Santiago del Estero,Moreno,0
Santiago del Estero,Mitre,0
Santiago del Estero,San Martín,0
Santiago del Estero,Figueroa,0
Santiago del Estero,Salavina,0
Santiago del Estero,Aguirre,0
Santiago del Estero,Guasayán,0
Santiago del Estero,Silípica,0
Santiago del Estero,Pellegrini,0
Santiago del Estero,Belgrano,0
Tierra del Fuego,Río Grande,0
Tierra del Fuego,Tolhuin,0
Tucumán,Cruz Alta,3
Tucumán,Capital,3
Tucumán,Monteros,2
Tucumán,Yerba Buena,1
Tucumán,Leales,1
Tucumán,Tafí Viejo,1
Tucumán,Río Chico,1
Tucumán,Tafí del Valle,1
Tucumán,Famaillá,1
Tucumán,Chicligasta,1
Tucumán,Juan Bautista Alberdi,0
Tucumán,Burruyacú,0
Tucumán,La Cocha,0
Tucumán,Graneros,0
Tucumán,Trancas,0
Tucumán,Simoca,0
Tucumán,Lules,0
